,week_day,route_id,start_time,travel_time,month_day,stop_id
822,1,3,9404,65,7,2
823,1,3,9468,76,7,2
824,1,2,9626,56,7,2
825,1,1,9834,57,7,2
826,1,3,10109,48,7,2
827,1,0,10465,57,7,2
828,1,3,10518,54,7,2
829,1,2,10587,64,7,2
830,1,0,10739,51,7,2
831,1,3,10830,46,7,2
832,1,1,11110,64,7,2
833,1,2,11159,157,7,2
834,1,3,11409,58,7,2
835,1,0,11623,57,7,2
836,1,3,11683,61,7,2
837,1,1,11872,58,7,2
838,1,2,11970,72,7,2
839,1,1,12089,141,7,2
840,1,3,12197,95,7,2
841,1,0,12278,76,7,2
842,1,3,12563,55,7,2
843,1,1,12645,54,7,2
844,1,2,13019,57,7,2
845,1,0,13074,59,7,2
846,1,3,13115,64,7,2
847,1,0,13723,59,7,2
848,1,3,13768,78,7,2
849,1,1,13815,89,7,2
850,1,3,13993,46,7,2
851,1,0,14045,67,7,2
852,1,2,14316,73,7,2
853,1,3,14711,62,7,2
854,1,1,14751,104,7,2
855,1,0,14783,176,7,2
856,1,2,14849,160,7,2
857,1,2,15237,50,7,2
858,1,3,15282,70,7,2
859,1,1,15491,58,7,2
860,1,0,15574,51,7,2
861,1,1,15853,56,7,2
862,1,3,15920,64,7,2
863,1,3,16397,61,7,2
864,1,0,16527,54,7,2
865,1,1,16574,71,7,2
866,1,2,16634,71,7,2
867,1,3,17062,50,7,2
868,1,1,17113,63,7,2
869,1,0,17222,49,7,2
870,1,1,17436,53,7,2
871,1,0,17527,56,7,2
872,1,3,17774,55,7,2
873,1,1,37569,90,7,3
874,1,2,38268,112,7,3
875,1,2,38329,158,7,3
876,1,0,38481,101,7,3
877,1,1,38766,91,7,3
878,1,2,38841,116,7,3
879,1,0,38915,111,7,3
880,1,1,39077,127,7,3
881,1,1,39343,95,7,3
882,1,2,39574,86,7,3
883,1,0,39676,105,7,3
884,1,1,39851,69,7,3
885,1,3,39912,83,7,3
886,1,2,40240,106,7,3
887,1,2,40380,80,7,3
888,1,0,40756,117,7,3
889,1,1,40825,119,7,3
890,1,0,41099,86,7,3
891,1,3,41181,117,7,3
892,1,2,41291,102,7,3
893,1,3,41506,102,7,3
894,1,2,41576,97,7,3
895,1,3,41643,122,7,3
896,1,0,41935,91,7,3
897,1,1,42060,89,7,3
898,1,3,42217,111,7,3
899,1,1,42306,115,7,3
900,1,1,42375,119,7,3
901,1,0,42417,148,7,3
902,1,2,42521,107,7,3
903,1,3,42640,103,7,3
904,1,2,42765,83,7,3
905,1,0,42966,65,7,3
906,1,3,43059,118,7,3
907,1,1,43125,127,7,3
908,1,0,43703,97,7,3
909,1,2,43798,99,7,3
910,1,3,43900,81,7,3
911,1,1,43963,92,7,3
912,1,1,44481,90,7,3
913,1,0,44550,103,7,3
914,1,0,44823,103,7,3
915,1,3,44926,150,7,3
916,1,3,44996,170,7,3
917,1,2,45096,149,7,3
918,1,2,45164,165,7,3
919,1,1,45210,196,7,3
920,1,0,45269,203,7,3
